כנסת,שם,קוד שחקן,קוד משתמש,מגדר,קוד תפקיד,תפקיד,התחלה,סיום,סיבת סיום כהונה,סיבת חזרה לכהונה,החליף את
25,עדי עזוז,30895,35460,נקבה,61,חברת הכנסת,13/08/2025,NULL,NULL,NULL,רול עידן
25,עודד פורר,30121,30309,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,עופר כסיף,30719,32021,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,עידית סילמן,30718,32030,נקבה,61,חברת הכנסת,15/11/2022,07/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,עידן רול,30721,32039,זכר,43,חבר הכנסת,15/11/2022,13/08/2025,"התפטרות חה""כ מהכנסת",NULL,NULL
25,עמיחי אליהו,30857,34377,זכר,43,חבר הכנסת,15/11/2022,01/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,עמיחי אליהו,30857,34377,זכר,43,חבר הכנסת,21/01/2025,NULL,NULL,"כהונת חה""כ התחדשה",סוכות צבי ידידיה
25,עמיחי שיקלי,30786,32703,זכר,43,חבר הכנסת,15/11/2022,17/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,עמית הלוי,30711,32010,זכר,43,חבר הכנסת,17/01/2023,NULL,NULL,NULL,שיקלי עמיחי
25,עפיף עבד,30893,35236,זכר,43,חבר הכנסת,05/01/2025,NULL,NULL,NULL,גלנט יואב
25,פנינה תמנו,23635,23635,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,צבי ידידיה סוכות,30874,34616,זכר,43,חבר הכנסת,07/02/2023,21/01/2025,"כהונת חה""כ פסקה בשל התחדשות חברות ח""כ אחר",NULL,סמוטריץ' בצלאל
25,צבי ידידיה סוכות,30874,34616,זכר,43,חבר הכנסת,06/04/2025,NULL,NULL,NULL,כהן אלמוג
25,צביקה פוגל,30859,34378,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,צגה מלקו,30875,34626,נקבה,61,חברת הכנסת,10/02/2023,NULL,NULL,NULL,אקוניס אופיר
25,קארין אלהרר,23631,23631,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,קטי קטרין שטרית,30706,32043,נקבה,61,חברת הכנסת,15/02/2023,NULL,NULL,NULL,רגב מירי מרים
25,רון כץ,30780,32694,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,רם בן ברק,30691,32001,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,שלום דנינו,30861,34380,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,שלי טל מירון,30871,34598,נקבה,61,חברת הכנסת,01/02/2023,NULL,NULL,NULL,רזבוזוב יואל
25,שלמה קרעי,30704,32038,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,שמחה רוטמן,30812,32700,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,שרון ניר,30863,34381,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,שרן מרים השכל,30118,30305,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,ששון ששי גואטה,30879,34716,זכר,43,חבר הכנסת,26/03/2023,NULL,NULL,NULL,קיש יואב
